dataset,method,cv_folds,mean_R2,ci_lo,ci_hi,std
vhid_HA1,LASSO,20,0.7386,0.7338,0.7434,0.0103
vhid_HA1,Ridge,20,0.7426,0.7371,0.7482,0.0119
vhid_HA1,XGBoost,20,0.8528,0.8481,0.8575,0.01
vhid_HA1,KAN,3,0.823,0.7758,0.8701,0.019
H3N2,LASSO,20,0.5023,0.4953,0.5093,0.0149
H3N2,Ridge,20,0.5185,0.5121,0.525,0.0137
H3N2,XGBoost,20,0.6232,0.6158,0.6306,0.0159
H3N2,KAN,3,0.5789,0.5318,0.6259,0.0189
H1N1,LASSO,20,0.5316,0.508,0.5552,0.0504
H1N1,Ridge,20,0.5307,0.5059,0.5555,0.0529
H1N1,XGBoost,20,0.6208,0.6056,0.6361,0.0326
H1N1,KAN,3,0.5918,0.5077,0.6759,0.0339
