encoding,model,train_upto,test_window,n_train,n_test,R2
binary,Ridge,1990,1991-1995,1579,927,0.4492
binary,XGBoost,1990,1991-1995,1579,927,0.3387
binary,Ridge,1995,1996-2000,2506,369,0.3771
binary,XGBoost,1995,1996-2000,2506,369,0.6021
binary,Ridge,2000,2001-2005,2875,3636,-0.8845
binary,XGBoost,2000,2001-2005,2875,3636,-0.4066
binary,Ridge,2005,2006-2010,6511,1297,0.0016
binary,XGBoost,2005,2006-2010,6511,1297,0.2423
grantham,Ridge,1990,1991-1995,1579,927,-4.696
grantham,XGBoost,1990,1991-1995,1579,927,0.3453
grantham,Ridge,1995,1996-2000,2506,369,0.354
grantham,XGBoost,1995,1996-2000,2506,369,0.6242
grantham,Ridge,2000,2001-2005,2875,3636,-3.7333
grantham,XGBoost,2000,2001-2005,2875,3636,-0.3708
grantham,Ridge,2005,2006-2010,6511,1297,-0.5906
grantham,XGBoost,2005,2006-2010,6511,1297,0.2723
l2property,Ridge,1990,1991-1995,1579,927,0.3919
l2property,XGBoost,1990,1991-1995,1579,927,0.5033
l2property,Ridge,1995,1996-2000,2506,369,0.3378
l2property,XGBoost,1995,1996-2000,2506,369,0.6271
l2property,Ridge,2000,2001-2005,2875,3636,-1.7859
l2property,XGBoost,2000,2001-2005,2875,3636,-0.6451
l2property,Ridge,2005,2006-2010,6511,1297,-0.4717
l2property,XGBoost,2005,2006-2010,6511,1297,0.2382
