dataset,pair,virus,reference,n_differing_drivers,driver_positions_mature,distinct_blocks,n_replicate_rows,class
H3N2,A/Akita/4/1993 vs A/Finland/338/1995,A/Akita/4/1993,A/Finland/338/1995,1,278,1,1,clean-single-driver
H3N2,A/Akita/4/1993 vs A/Lyon/2279/1995,A/Akita/4/1993,A/Lyon/2279/1995,1,278,1,1,clean-single-driver
H3N2,A/Amsterdam/1609/1977 vs A/Victoria/3/1975,A/Amsterdam/1609/1977,A/Victoria/3/1975,1,193,1,1,clean-single-driver
H3N2,A/Anhui/1238/2005 vs A/Brazil/1742/2005,A/Anhui/1238/2005,A/Brazil/1742/2005,1,193,1,2,clean-single-driver
H3N2,A/Anhui/1238/2005 vs A/California/7/2004,A/Anhui/1238/2005,A/California/7/2004,1,193,1,2,clean-single-driver
H3N2,A/Anhui/1238/2005 vs A/Mississippi/5/2004,A/Anhui/1238/2005,A/Mississippi/5/2004,1,193,1,1,clean-single-driver
H3N2,A/Anhui/1238/2005 vs A/NewYork/55/2004,A/Anhui/1238/2005,A/NewYork/55/2004,1,193,1,2,clean-single-driver
H3N2,A/Anhui/1238/2005 vs A/Singapore/37/2004,A/Anhui/1238/2005,A/Singapore/37/2004,1,193,1,1,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/Brazil/1742/2005,A/Anhui/1239/2005,A/Brazil/1742/2005,1,193,1,1,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/California/7/2004,A/Anhui/1239/2005,A/California/7/2004,1,193,1,5,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/Kentucky/3/2006,A/Anhui/1239/2005,A/Kentucky/3/2006,1,157,1,2,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/Mississippi/5/2004,A/Anhui/1239/2005,A/Mississippi/5/2004,1,193,1,2,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/NewYork/55/2004,A/Anhui/1239/2005,A/NewYork/55/2004,1,193,1,6,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/Singapore/37/2004,A/Anhui/1239/2005,A/Singapore/37/2004,1,193,1,1,clean-single-driver
H3N2,A/Anhui/1239/2005 vs A/Ukraine/13/2006,A/Anhui/1239/2005,A/Ukraine/13/2006,1,193,1,2,clean-single-driver
H3N2,A/Atlanta/211/1989 vs A/Colorado/2/1986,A/Atlanta/211/1989,A/Colorado/2/1986,1,189,1,1,clean-single-driver
H3N2,A/Atlanta/211/1989 vs A/Netherlands/330/1985,A/Atlanta/211/1989,A/Netherlands/330/1985,1,189,1,1,clean-single-driver
H3N2,A/Atlanta/211/1989 vs A/Wellington/4/1985,A/Atlanta/211/1989,A/Wellington/4/1985,1,189,1,1,clean-single-driver
H3N2,A/Atlanta/3572/1988 vs A/Colorado/2/1986,A/Atlanta/3572/1988,A/Colorado/2/1986,1,189,1,1,clean-single-driver
H3N2,A/Atlanta/3572/1988 vs A/Netherlands/330/1985,A/Atlanta/3572/1988,A/Netherlands/330/1985,1,189,1,1,clean-single-driver
H3N2,A/Atlanta/3572/1988 vs A/Wellington/4/1985,A/Atlanta/3572/1988,A/Wellington/4/1985,1,189,1,1,clean-single-driver
H3N2,A/Auckland/4382/1982 vs A/Texas/1/1977,A/Auckland/4382/1982,A/Texas/1/1977,1,133,1,1,clean-single-driver
H3N2,A/Auckland/4382/1982 vs A/Wellington/4/1985,A/Auckland/4382/1982,A/Wellington/4/1985,1,11,1,1,clean-single-driver
H3N2,A/Auckland/6/2003 vs A/ChristChurch/28/2003,A/Auckland/6/2003,A/ChristChurch/28/2003,1,190,1,2,clean-single-driver
H3N2,A/Auckland/6/2003 vs A/Malaysia/1/2004,A/Auckland/6/2003,A/Malaysia/1/2004,1,189,1,1,clean-single-driver
H3N2,A/Beijing/352/1989 vs A/Netherlands/450/1988,A/Beijing/352/1989,A/Netherlands/450/1988,1,193,1,1,clean-single-driver
H3N2,A/Beijing/352/1989 vs A/Netherlands/620/1989,A/Beijing/352/1989,A/Netherlands/620/1989,1,193,1,1,clean-single-driver
H3N2,A/Beijing/352/1989 vs A/Shanghai/11/1987,A/Beijing/352/1989,A/Shanghai/11/1987,1,193,1,2,clean-single-driver
H3N2,A/Beijing/352/1989 vs A/Sichuan/2/1987,A/Beijing/352/1989,A/Sichuan/2/1987,1,193,1,1,clean-single-driver
H3N2,A/Beijing/352/1989 vs A/Victoria/2/1990,A/Beijing/352/1989,A/Victoria/2/1990,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Netherlands/450/1988,A/Beijing/353/1989,A/Netherlands/450/1988,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Netherlands/620/1989,A/Beijing/353/1989,A/Netherlands/620/1989,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Shanghai/11/1987,A/Beijing/353/1989,A/Shanghai/11/1987,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Sichuan/2/1987,A/Beijing/353/1989,A/Sichuan/2/1987,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Victoria/2/1990,A/Beijing/353/1989,A/Victoria/2/1990,1,193,1,1,clean-single-driver
H3N2,A/Beijing/353/1989 vs A/Victoria/7/1987,A/Beijing/353/1989,A/Victoria/7/1987,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/10684/1982 vs A/Texas/1/1977,A/Bilthoven/10684/1982,A/Texas/1/1977,1,133,1,2,clean-single-driver
H3N2,A/Bilthoven/10684/1982 vs A/Wellington/4/1985,A/Bilthoven/10684/1982,A/Wellington/4/1985,1,11,1,1,clean-single-driver
H3N2,A/Bilthoven/15793/1968 vs A/PortChalmers/1/1973,A/Bilthoven/15793/1968,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/16190/1968 vs A/Bilthoven/5930/1974,A/Bilthoven/16190/1968,A/Bilthoven/5930/1974,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/16190/1968 vs A/PortChalmers/1/1973,A/Bilthoven/16190/1968,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/16398/1968 vs A/PortChalmers/1/1973,A/Bilthoven/16398/1968,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/1761/1976 vs A/Victoria/3/1975,A/Bilthoven/1761/1976,A/Victoria/3/1975,1,193,1,2,clean-single-driver
H3N2,A/Bilthoven/17938/1969 vs A/PortChalmers/1/1973,A/Bilthoven/17938/1969,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/1843/1975 vs A/PortChalmers/1/1973,A/Bilthoven/1843/1975,A/PortChalmers/1/1973,1,278,1,1,clean-single-driver
H3N2,A/Bilthoven/1843/1975 vs A/Victoria/3/1975,A/Bilthoven/1843/1975,A/Victoria/3/1975,1,189,1,1,clean-single-driver
H3N2,A/Bilthoven/21438/1971 vs A/PortChalmers/1/1973,A/Bilthoven/21438/1971,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/21793/1972 vs A/Bilthoven/5930/1974,A/Bilthoven/21793/1972,A/Bilthoven/5930/1974,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/21793/1972 vs A/PortChalmers/1/1973,A/Bilthoven/21793/1972,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/21801/1971 vs A/PortChalmers/1/1973,A/Bilthoven/21801/1971,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/2271/1976 vs A/Texas/1/1977,A/Bilthoven/2271/1976,A/Texas/1/1977,1,11,1,1,clean-single-driver
H3N2,A/Bilthoven/2271/1976 vs A/Victoria/3/1975,A/Bilthoven/2271/1976,A/Victoria/3/1975,1,158,1,1,clean-single-driver
H3N2,A/Bilthoven/23290/1972 vs A/PortChalmers/1/1973,A/Bilthoven/23290/1972,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/23337/1972 vs A/PortChalmers/1/1973,A/Bilthoven/23337/1972,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/2600/1975 vs A/England/42/1972,A/Bilthoven/2600/1975,A/England/42/1972,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/2600/1975 vs A/HongKong/1/1968,A/Bilthoven/2600/1975,A/HongKong/1/1968,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/2668/1970 vs A/PortChalmers/1/1973,A/Bilthoven/2668/1970,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/2813/1975 vs A/Bilthoven/21793/1972,A/Bilthoven/2813/1975,A/Bilthoven/21793/1972,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/2813/1975 vs A/England/42/1972,A/Bilthoven/2813/1975,A/England/42/1972,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/2813/1975 vs A/HongKong/1/1968,A/Bilthoven/2813/1975,A/HongKong/1/1968,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/334/1975 vs A/PortChalmers/1/1973,A/Bilthoven/334/1975,A/PortChalmers/1/1973,1,278,1,1,clean-single-driver
H3N2,A/Bilthoven/334/1975 vs A/Victoria/3/1975,A/Bilthoven/334/1975,A/Victoria/3/1975,1,189,1,1,clean-single-driver
H3N2,A/Bilthoven/3517/1973 vs A/PortChalmers/1/1973,A/Bilthoven/3517/1973,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/3895/1977 vs A/Victoria/3/1975,A/Bilthoven/3895/1977,A/Victoria/3/1975,1,193,1,2,clean-single-driver
H3N2,A/Bilthoven/4273/1975 vs A/England/42/1972,A/Bilthoven/4273/1975,A/England/42/1972,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/4273/1975 vs A/HongKong/1/1968,A/Bilthoven/4273/1975,A/HongKong/1/1968,1,190,1,1,clean-single-driver
H3N2,A/Bilthoven/4791/1981 vs A/Texas/1/1977,A/Bilthoven/4791/1981,A/Texas/1/1977,1,133,1,2,clean-single-driver
H3N2,A/Bilthoven/4791/1981 vs A/Wellington/4/1985,A/Bilthoven/4791/1981,A/Wellington/4/1985,1,11,1,1,clean-single-driver
H3N2,A/Bilthoven/5029/1976 vs A/Victoria/3/1975,A/Bilthoven/5029/1976,A/Victoria/3/1975,1,193,1,2,clean-single-driver
H3N2,A/Bilthoven/5146/1974 vs A/England/42/1972,A/Bilthoven/5146/1974,A/England/42/1972,1,11,1,1,clean-single-driver
H3N2,A/Bilthoven/5146/1974 vs A/HongKong/1/1968,A/Bilthoven/5146/1974,A/HongKong/1/1968,1,11,1,1,clean-single-driver
H3N2,A/Bilthoven/5168/1976 vs A/Victoria/3/1975,A/Bilthoven/5168/1976,A/Victoria/3/1975,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/552/1973 vs A/PortChalmers/1/1973,A/Bilthoven/552/1973,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/5657/1976 vs A/Victoria/3/1975,A/Bilthoven/5657/1976,A/Victoria/3/1975,1,193,1,2,clean-single-driver
H3N2,A/Bilthoven/5930/1974 vs A/Bilthoven/21793/1972,A/Bilthoven/5930/1974,A/Bilthoven/21793/1972,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/5930/1974 vs A/England/42/1972,A/Bilthoven/5930/1974,A/England/42/1972,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/5930/1974 vs A/HongKong/1/1968,A/Bilthoven/5930/1974,A/HongKong/1/1968,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/5931/1974 vs A/England/42/1972,A/Bilthoven/5931/1974,A/England/42/1972,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/5931/1974 vs A/HongKong/1/1968,A/Bilthoven/5931/1974,A/HongKong/1/1968,1,193,1,1,clean-single-driver
